id,name,bic,country/id,zip,city,street,email,phone
bank_ng_001,9MOBILE 9PAYMENT SERVICE BANK,120001,base.ng,,,,,
bank_ng_002,ALAT BY WEMA,035A,base.ng,,,,,
bank_ng_003,AMML MFB,090116,base.ng,,,,,
bank_ng_004,AMPERSAND MICROFINANCE BANK,51340,base.ng,,,,,
bank_ng_005,AB MFB,090270,base.ng,,,,,
bank_ng_006,ABBEY MORTGAGE BANK,070010,base.ng,,,,,
bank_ng_007,ABOVE ONLY MFB,090260,base.ng,,,,,
bank_ng_008,ABU MFB,090197,base.ng,,,,,
bank_ng_009,ABULESORO MFB,51311,base.ng,,,,,
bank_ng_010,ACCESS BANK NIGERIA,000014,base.ng,,,,,
bank_ng_011,ACCESS YELLO AND BETA,100052,base.ng,,,,,
bank_ng_012,ACCESSMONEY,100013,base.ng,,,,,
bank_ng_013,ACCION MFB,090134,base.ng,,,,,
bank_ng_014,ADDOSSER MFB,090160,base.ng,,,,,
bank_ng_015,ADEYEMI COLLEGE STAFF MFB,090268,base.ng,,,,,
bank_ng_016,AFEKHAFE MFB,090292,base.ng,,,,,
bank_ng_017,AG MORTGAGE BANK,100028,base.ng,,,,,
bank_ng_018,AHMADU BELLO UNIVERSITY MICROFINANCE BANK,50036,base.ng,,,,,
bank_ng_019,AIRTEL SMARTCASH PSB,120004,base.ng,,,,,
bank_ng_020,AL-BARKAH MFB,090133,base.ng,,,,,
bank_ng_021,AL-HAYAT MFB,090277,base.ng,,,,,
bank_ng_022,ALEKUN MFB,090259,base.ng,,,,,
bank_ng_023,ALERT MFB,090297,base.ng,,,,,
bank_ng_024,ALLWORKERS MFB,090131,base.ng,,,,,
bank_ng_025,ALPHA KAPITAL MFB,090169,base.ng,,,,,
bank_ng_026,AMJU UNIQUE MFB,090180,base.ng,,,,,
bank_ng_027,APEKS MFB,090143,base.ng,,,,,
bank_ng_028,ARAMOKO MFB,50082,base.ng,,,,,
bank_ng_029,ARISE MFB,090282,base.ng,,,,,
bank_ng_030,ASO SAVINGS AND LOANS,090001,base.ng,,,,,
bank_ng_031,ASSETMATRIX MFB,090287,base.ng,,,,,
bank_ng_032,ASTRAPOLARIS MFB,090172,base.ng,,,,,
bank_ng_033,AUCHI MFB,090264,base.ng,,,,,
bank_ng_034,BC KASH MFB,090127,base.ng,,,,,
bank_ng_035,BAINES CREDIT MFB,090188,base.ng,,,,,
bank_ng_036,BAINESCREDIT MFB,51228,base.ng,,,,,
bank_ng_037,BALOGUN GAMBARI MFB,090326,base.ng,,,,,
bank_ng_038,BANC CORP MICROFINANCE BANK,50116,base.ng,,,,,
bank_ng_039,BAOBAB MFB,090136,base.ng,,,,,
bank_ng_040,BOCTRUST MFB,090117,base.ng,,,,,
bank_ng_041,BOSAK MFB,090176,base.ng,,,,,
bank_ng_042,BOWEN MFB,090148,base.ng,,,,,
bank_ng_043,BRENT MORTGAGE BANK,070015,base.ng,,,,,
bank_ng_044,BRETHREN MFB,090293,base.ng,,,,,
bank_ng_045,BRIGHTWAY MFB,090308,base.ng,,,,,
bank_ng_046,CASHCONNECT MFB,864,base.ng,,,,,
bank_ng_047,CEMCS MFB,090154,base.ng,,,,,
bank_ng_048,CIT MFB,090144,base.ng,,,,,
bank_ng_049,CELLULANT,100005,base.ng,,,,,
bank_ng_050,CHANELLE MICROFINANCE BANK LIMITED,50170,base.ng,,,,,
bank_ng_051,CHIKUM MFB,090141,base.ng,,,,,
bank_ng_052,CITIBANK NIGERIA,000009,base.ng,,,,,
bank_ng_053,CONSUMER MFB,090130,base.ng,,,,,
bank_ng_054,CONTEC GLOBAL INFOTECH,100032,base.ng,,,,,
bank_ng_055,CORESTEP MFB,50203,base.ng,,,,,
bank_ng_056,CORONATION MERCHANT BANK,060001,base.ng,,,,,
bank_ng_057,COVENANT,070006,base.ng,,,,,
bank_ng_058,CREDIT AFRIQUE MFB,090159,base.ng,,,,,
bank_ng_059,CRESCENT MFB,51296,base.ng,,,,,
bank_ng_060,DAYLIGHT MFB,090167,base.ng,,,,,
bank_ng_061,DOT MICROFINANCE BANK,50161,base.ng,,,,,
bank_ng_062,E-BARCS MFB,090156,base.ng,,,,,
bank_ng_063,EAGLE FLIGHT MFB,090294,base.ng,,,,,
bank_ng_064,EARTHOLEUM (QIK QIK),100021,base.ng,,,,,
bank_ng_065,ECOBANK BANK,000010,base.ng,,,,,
bank_ng_066,ECOBANK XPRESS,100008,base.ng,,,,,
bank_ng_067,EDFIN MFB,090310,base.ng,,,,,
bank_ng_068,EKIMOGUN MFB,50262,base.ng,,,,,
bank_ng_069,EKONDO MFB,090097,base.ng,,,,,
bank_ng_070,EMERALDS MFB,090273,base.ng,,,,,
bank_ng_071,EMPIRE TRUST MFB,090114,base.ng,,,,,
bank_ng_072,ESAN MFB,090189,base.ng,,,,,
bank_ng_073,ESO-E MFB,090166,base.ng,,,,,
bank_ng_074,ETRANZACT,100006,base.ng,,,,,
bank_ng_075,EVANGEL MFB,090304,base.ng,,,,,
bank_ng_076,EYOWO,50125,base.ng,,,,,
bank_ng_077,FBNQUEST MERCHANT BANK,060002,base.ng,,,,,
bank_ng_078,FCMB EASY ACCOUNT,100031,base.ng,,,,,
bank_ng_079,FCT MFB,090290,base.ng,,,,,
bank_ng_080,FETS (MY WALLET),100001,base.ng,,,,,
bank_ng_081,FFS MICROFINANCE,090153,base.ng,,,,,
bank_ng_082,FLOURISH MFB,50314,base.ng,,,,,
bank_ng_083,FSDH MERCHANT BANK,400001,base.ng,,,,,
bank_ng_084,FAIRMONEY MICROFINANCE BANK,51317,base.ng,,,,,
bank_ng_085,FAST MFB,090179,base.ng,,,,,
bank_ng_086,FEDERAL UNIVERSITY DUTSE MFB,090318,base.ng,,,,,
bank_ng_087,FEDPOLY NASARAWA MFB,090298,base.ng,,,,,
bank_ng_088,FIDELITY BANK,000007,base.ng,,,,,
bank_ng_089,FIDELITY MOBILE,100019,base.ng,,,,,
bank_ng_090,FIDFUND MFB,090126,base.ng,,,,,
bank_ng_091,FINATRUST MFB,090111,base.ng,,,,,
bank_ng_092,FIRMUS MFB,51313,base.ng,,,,,
bank_ng_093,FIRST APPLE,110004,base.ng,,,,,
bank_ng_094,FIRST BANK OF NIGERIA,000016,base.ng,,,,,
bank_ng_095,FIRST CITY MONUMENT BANK,000003,base.ng,,,,,
bank_ng_096,FIRST GEN MORTGAGE BANK,070014,base.ng,,,,,
